#;Ник;Уров;БМ;Слава;Дата;Время;
1;~Мальвина~;100;52398600999;2620081609;01.02.2023;19:00:56;
2;=ЛюЛюНдРа=;100;52398600999;2620025201;01.02.2023;19:00:56;
3;Ice flame;100;52398600999;2620076828;01.02.2023;19:00:56;
4;Зверь Это Я;100;52398600999;2620079456;01.02.2023;19:00:56;
5;Bravan;100;52398600999;2620072195;01.02.2023;19:00:56;
6;DIMolition;100;52398600999;2620086348;01.02.2023;19:00:56;
7;DambLDoR;100;52398600999;2620074197;01.02.2023;19:00:56;
8;Димсонхрендель;100;52398600999;2620056736;01.02.2023;19:00:56;
9;Sollia;100;52398600999;2620067447;01.02.2023;19:00:56;
10;Kseya;100;52398600999;2620067681;01.02.2023;19:00:56;
11;Mental1tet;100;52398600999;2620084287;01.02.2023;19:00:56;
12;_Фея Лана_;100;52398600999;2619986910;01.02.2023;19:00:56;
13;Бродвей;100;52398600999;2620061479;01.02.2023;19:00:56;
14;T@nk;100;52398600999;2620078746;01.02.2023;19:00:56;
15;Jah Mason;100;52398600999;2620071344;01.02.2023;19:00:56;
16;**SUPERHelen**;100;52398600999;2620065775;01.02.2023;19:00:56;
17;Ласт Перейро;100;52398600999;2620089191;01.02.2023;19:00:56;
18;Задумавшийся;100;52398600999;2620091663;01.02.2023;19:00:56;
19;~КоВбоЙ ХаГиС~;100;52398600999;2620075450;01.02.2023;19:00:56;
20;DomInatoR.;100;52398600999;2620078403;01.02.2023;19:00:56;
21;dodid;92;52398600999;2620021497;01.02.2023;19:00:56;
22;~Цветанка~;100;52398600999;2620076650;01.02.2023;19:00:56;
23;Fon Dorf;100;52398600999;2620082810;01.02.2023;19:00:56;
24;ASCENDANT;100;52398600999;2620077982;01.02.2023;19:00:56;
25;~Бармалей~;100;52398600999;2620079273;01.02.2023;19:00:56;
26;бешка-бебешка_;100;52398600999;2620087752;01.02.2023;19:00:56;
27;*Милка;100;52398600999;2620073324;01.02.2023;19:00:56;
28;walmau 6altau;100;52398600999;2620063919;01.02.2023;19:00:56;
29;Катберт;100;52398600999;2620090739;01.02.2023;19:00:56;
30;AllexZ;100;52398600999;2620090837;01.02.2023;19:00:56;
31;*МАРТИНА*;100;52398600999;2620070210;01.02.2023;19:00:56;
32;GoldGirl.;100;52398600969;2620095380;01.02.2023;19:00:56;
33;Ragnar Lodbrok;100;52398600957;2620076799;01.02.2023;19:00:56;
34;Jateed;100;52315910219;2615936175;01.02.2023;19:00:56;
35;zabu;100;52177785249;2609045385;01.02.2023;19:00:56;
36;Chokkolatta;78;49264655343;2463298274;01.02.2023;19:00:56;
37;Очень синяя борода;100;47678126997;2384051642;01.02.2023;19:00:56;
38;danilRoman;100;43872175620;2193754405;01.02.2023;19:00:56;
39;barantya;100;35628735301;1781538184;01.02.2023;19:00:56;
40;Ruslan);100;35223626990;1761305419;01.02.2023;19:00:56;
41;~DROSSEL~;100;34565461694;1728397233;01.02.2023;19:00:56;
42;BarDuck;83;33450670461;1672599127;01.02.2023;19:00:56;
43;*Kronos*;100;31698318564;1584955795;01.02.2023;19:00:56;
44;DYNA;100;27475213323;1373842768;01.02.2023;19:00:56;
45;:Сотофа Ханемер:;100;24313182742;1215723947;01.02.2023;19:00:56;
46;К@манчик;50;23647261944;1182435409;01.02.2023;19:00:56;
47;d_MIX_b;100;17420246218;871095702;01.02.2023;19:00:56;
48;StasLz42;100;16659517696;833008316;01.02.2023;19:00:56;
49;Knowhere;100;12790227031;639628152;01.02.2023;19:00:56;
50;Katolik;100;11503417936;575239795;01.02.2023;19:00:56;
51;Тудор;100;5643822954;282215434;01.02.2023;19:00:56;
52;Pyrojok;100;3418841159;170955259;01.02.2023;19:00:56;
53;метрономикс;100;1950059782;97533050;01.02.2023;19:00:56;
54;-Brain-;100;1818574604;90956004;01.02.2023;19:00:56;
55;Kerberos;100;937009746;46870481;01.02.2023;19:00:56;
56;NeXTY;100;707069161;35375470;01.02.2023;19:00:56;
57;THE MECHANIC;84;383496698;19180891;01.02.2023;19:00:56;
58;Макыс;100;366712445;18384257;01.02.2023;19:00:56;
59;DominosZ;100;300539479;15032259;01.02.2023;19:00:56;
60;Bape}||{ka;100;118993618;5954366;01.02.2023;19:00:56;
;;;;;;;
