#;Ник;Уров;БМ;Слава;Дата;Время;
1;DambLDoR;100;52398600999;2620073731;28.12.2022;19:34:56;
2;DIMolition;100;52398600999;2620086081;28.12.2022;19:34:56;
3;Димсонхрендель;100;52398600999;2620056335;28.12.2022;19:34:56;
4;Sollia;100;52398600999;2620067020;28.12.2022;19:34:56;
5;Mental1tet;100;52398600999;2620083679;28.12.2022;19:34:56;
6;-Шоколадка-;100;52398600999;2620078831;28.12.2022;19:34:56;
7;Бродвей;100;52398600999;2620060553;28.12.2022;19:34:56;
8;T@nk;100;52398600999;2620078172;28.12.2022;19:34:56;
9;Jah Mason;100;52398600999;2620071323;28.12.2022;19:34:56;
10;Ласт Перейро;100;52398600999;2620089291;28.12.2022;19:34:56;
11;Задумавшийся;100;52398600999;2620091663;28.12.2022;19:34:56;
12;DomInatoR.;100;52398600999;2620077496;28.12.2022;19:34:56;
13;Зверь Это Я;100;52398600999;2620078639;28.12.2022;19:34:56;
14;Fon Dorf;100;52398600999;2620082143;28.12.2022;19:34:56;
15;ASCENDANT;100;52398600999;2620075679;28.12.2022;19:34:56;
16;~Бармалей~;100;52398600999;2620078695;28.12.2022;19:34:56;
17;бешка-бебешка_;100;52398600999;2620085634;28.12.2022;19:34:56;
18;*Милка;100;52398600999;2620073311;28.12.2022;19:34:56;
19;walmau 6altau;100;52398600999;2620063149;28.12.2022;19:34:56;
20;Катберт;100;52398600999;2620090315;28.12.2022;19:34:56;
21;*МАРТИНА*;100;52398600999;2620069823;28.12.2022;19:34:56;
22;**SUPERHelen**;100;52398600999;2620065644;28.12.2022;19:34:56;
23;=ЛюЛюНдРа=;100;52398600999;2620025070;28.12.2022;19:34:56;
24;Ice flame;100;52398600999;2620076647;28.12.2022;19:34:56;
25;Bravan;100;52398600999;2620071666;28.12.2022;19:34:56;
26;dodid;92;52398600999;2620021184;28.12.2022;19:34:56;
27;Ragnar Lodbrok;100;52398600997;2620076481;28.12.2022;19:34:56;
28;AYEC;100;52398600990;2620070533;28.12.2022;19:34:56;
29;GoldGirl.;100;52398600983;2620094817;28.12.2022;19:34:56;
30;Kseya;100;52398600971;2620067136;28.12.2022;19:34:56;
31;Jateed;100;52315910219;2615935861;28.12.2022;19:34:56;
32;zabu;100;52177783576;2609044299;28.12.2022;19:34:56;
33;~Мальвина~;100;50591401000;2529720917;28.12.2022;19:34:56;
34;Очень синяя борода;100;47678126690;2384051209;28.12.2022;19:34:56;
35;danilRoman;100;43872175554;2193754138;28.12.2022;19:34:56;
36;~КоВбоЙ ХаГиС~;100;43362479123;2168269120;28.12.2022;19:34:56;
37;Chokkolatta;78;39714940234;1985811883;28.12.2022;19:34:56;
38;_Фея Лана_;100;38875799068;1943846007;28.12.2022;19:34:56;
39;|Marihuana|;100;36474670946;1823852097;28.12.2022;19:34:56;
40;~DROSSEL~;100;31945675772;1597406200;28.12.2022;19:34:56;
41;barantya;100;30301820023;1515190991;28.12.2022;19:34:56;
42;*Kronos*;100;27351224559;1367600017;28.12.2022;19:34:56;
43;DYNA;100;26131592457;1306660524;28.12.2022;19:34:56;
44;Ruslan);100;25945388912;1297385872;28.12.2022;19:34:56;
45;К@манчик;50;21743569128;1087250433;28.12.2022;19:34:56;
46;BarDuck;83;20749481858;1037537907;28.12.2022;19:34:56;
47;StasLz42;100;15170048269;758528864;28.12.2022;19:34:56;
48;Knowhere;100;11135482507;556800382;28.12.2022;19:34:56;
49;d_MIX_b;100;7536028518;376872991;28.12.2022;19:34:56;
50;Katolik;100;4614374675;230774966;28.12.2022;19:34:56;
51;метрономикс;100;1286245265;64339269;28.12.2022;19:34:56;
52;-Brain-;100;1182171435;59131529;28.12.2022;19:34:56;
53;Pyrojok;100;897615358;44888587;28.12.2022;19:34:56;
54;Тудор;100;827304632;41386941;28.12.2022;19:34:56;
55;NeXTY;100;443335136;22185481;28.12.2022;19:34:56;
56;Макыс;100;366703400;18373497;28.12.2022;19:34:56;
57;Kerberos;100;365354757;18280225;28.12.2022;19:34:56;
58;THE MECHANIC;84;302854031;15148426;28.12.2022;19:34:56;
59;DominosZ;99;300251559;15016137;28.12.2022;19:34:56;
60;Bape}||{ka;84;100694359;5037642;28.12.2022;19:34:56;
;;;;;;;
