;ИД;Ник;Уров;БМ;Слава;Дата;Время;
1;678808;ASCENDANT;100;52398600999;2620075673;29.12.2022;21:28:20;
2;1154664;-Шоколадка-;100;52398600999;2620078831;29.12.2022;21:28:20;
3;288026;бешка-бебешка_;100;52398600999;2620085644;29.12.2022;21:28:20;
4;5126484;Бродвей;100;52398600999;2620060505;29.12.2022;21:28:20;
5;905179;Ласт Перейро;100;52398600999;2620089291;29.12.2022;21:28:20;
6;463886;Ice flame;100;52398600999;2620076551;29.12.2022;21:28:20;
7;572557;Bravan;100;52398600999;2620071710;29.12.2022;21:28:20;
8;1019164;Fon Dorf;100;52398600999;2620082105;29.12.2022;21:28:20;
9;650294;Димсонхрендель;100;52398600999;2620056335;29.12.2022;21:28:20;
10;5040847;~Бармалей~;100;52398600999;2620078692;29.12.2022;21:28:20;
11;131381;Бэб великий;100;52398600999;2620058660;29.12.2022;21:28:20;
12;5096764;*Милка;100;52398600999;2620073312;29.12.2022;21:28:20;
13;1181977;GoldGirl.;100;52398600999;2620094817;29.12.2022;21:28:20;
14;412652;T@nk;100;52398600999;2620078211;29.12.2022;21:28:20;
15;870749;*МАРТИНА*;100;52398600999;2620069889;29.12.2022;21:28:20;
16;1702199;**SUPERHelen**;100;52398600999;2620065630;29.12.2022;21:28:20;
17;440363;Jah Mason;100;52398600999;2620071416;29.12.2022;21:28:20;
18;908943;=ЛюЛюНдРа=;100;52398600999;2620025051;29.12.2022;21:28:20;
19;462783;Задумавшийся;100;52398600999;2620091663;29.12.2022;21:28:20;
20;501099;DomInatoR.;100;52398600999;2620077681;29.12.2022;21:28:20;
21;2496733;dodid;92;52398600999;2620021282;29.12.2022;21:28:20;
22;1089588;DambLDoR;100;52398600999;2620073764;29.12.2022;21:28:20;
23;90034;DIMolition;100;52398600999;2620086163;29.12.2022;21:28:20;
24;5022279;Sollia;100;52398600999;2620067020;29.12.2022;21:28:20;
25;445845;Ragnar Lodbrok;100;52398600997;2620076479;29.12.2022;21:28:20;
26;115164;Kseya;100;52398600994;2620067232;29.12.2022;21:28:20;
27;1132947;AYEC;100;52398600990;2620070533;29.12.2022;21:28:20;
28;2485584;Зверь Это Я;100;52398600988;2620078564;29.12.2022;21:28:20;
29;777637;Катберт;100;52398600974;2620090599;29.12.2022;21:28:20;
30;1104389;Mental1tet;100;52398600957;2620083710;29.12.2022;21:28:20;
31;376980;walmau 6altau;100;52398600947;2620063361;29.12.2022;21:28:20;
32;2319099;Jateed;100;52315910219;2615935861;29.12.2022;21:28:20;
33;1216742;zabu;100;52177783651;2609044287;29.12.2022;21:28:20;
34;2062503;~Мальвина~;100;50591401000;2529720916;29.12.2022;21:28:20;
35;95519;Очень синяя борода;100;47678126810;2384051208;29.12.2022;21:28:20;
36;708853;danilRoman;100;43872175554;2193754028;29.12.2022;21:28:20;
37;926189;~КоВбоЙ ХаГиС~;100;43362479123;2168269123;29.12.2022;21:28:20;
38;584757;Chokkolatta;78;39714940234;1985811871;29.12.2022;21:28:20;
39;5076581;_Фея Лана_;100;38875879831;1943850044;29.12.2022;21:28:20;
40;968256;~DROSSEL~;100;31961071898;1598177053;29.12.2022;21:28:20;
41;292168;barantya;100;30316657035;1515932848;29.12.2022;21:28:20;
42;1251877;*Kronos*;100;27382236309;1369150607;29.12.2022;21:28:20;
43;634550;Ruslan);100;26274032068;1313817981;29.12.2022;21:28:20;
44;768271;DYNA;100;26137110011;1306936402;29.12.2022;21:28:20;
45;986834;К@манчик;50;22235839969;1111864170;29.12.2022;21:28:20;
46;1101368;BarDuck;83;20749481910;1037537986;29.12.2022;21:28:20;
47;5142184;StasLz42;100;15337573344;766905234;29.12.2022;21:28:20;
48;591001;Knowhere;100;11142346031;557232678;29.12.2022;21:28:20;
49;1212368;d_MIX_b;100;7537800376;376961488;29.12.2022;21:28:20;
50;4560082;Katolik;100;4697848408;234948658;29.12.2022;21:28:20;
51;826347;Тудор;100;1561072991;78075366;29.12.2022;21:28:20;
52;4997377;метрономикс;100;1286245236;64339267;29.12.2022;21:28:20;
53;10971;-Brain-;100;1184312013;59238634;29.12.2022;21:28:20;
54;5169343;Pyrojok;100;921110786;46063361;29.12.2022;21:28:20;
55;2971427;NeXTY;100;443344812;22186047;29.12.2022;21:28:20;
56;434737;Макыс;100;366704474;18373480;29.12.2022;21:28:20;
57;5164887;Kerberos;100;366307502;18327850;29.12.2022;21:28:20;
58;984127;THE MECHANIC;84;302854109;15148434;29.12.2022;21:28:20;
59;5170990;DominosZ;99;300411702;15024250;29.12.2022;21:28:20;
60;5171235;Bape}||{ka;85;100700069;5037938;29.12.2022;21:28:20;
;;;;;;;;
